cnpj,razao_social,nome_fantasia,situacao_cadastral,data_situacao,motivo_situacao,data_abertura,matriz_filial,natureza_juridica,mei,simples,capital_social,porte,cnae_principal_codigo,cnae_principal_descricao,cnaes_secundarios,logradouro,numero,complemento,bairro,cep,municipio,uf,telefone1,telefone2,email,socios,ultima_atualizacao
52.502.240/0001-98,CONDOMINIO RESIDENCIAL REAL NORTH JORDAO,CONDOMINIO RESIDENCIAL REAL NORTH JORDAO,ATIVA,,,11/07/2023,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,RUA AMOROSO COSTA,251,,JARDIM SAO PAULO(ZONA NORTE),02045040,SAO PAULO,SP,(11) 31817396,,,,
52.502.053/0001-04,CONDOMINIO RESIDENCIAL MELCHERT,-,ATIVA,,,05/06/2023,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,AVENIDA MELCHERT,419,,CHACARA SEIS DE OUTUBRO,03508000,SAO PAULO,SP,(11) 20924804,,,,
52.480.715/0001-92,NEX ONE SENA MADUREIRA,CONDOMINIO NEX ONE SENA MADUREIRA,ATIVA,,,06/09/2023,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,RUA SENA MADUREIRA,249,263-273,VILA CLEMENTINO,04021050,SAO PAULO,SP,(15) 32116999,,,,
52.478.205/0001-80,RESIDENCIAL IMPERADOR,RESIDENCIAL IMPERADOR,ATIVA,,,06/07/2023,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,RUA DO IMPERADOR,475,,VILA PAIVA,02074002,SAO PAULO,SP,(11) 31817396,,,,
52.474.765/0003-29,TODAY PINHEIROS,TODAY PINHEIROS - RESIDENCIAL,ATIVA,,,01/09/2023,FILIAL,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,RUA CARDEAL ARCOVERDE,2004,SETOR RESIDENCIAL,PINHEIROS,05408002,SAO PAULO,SP,(11) 31452711,,,,
52.474.765/0002-48,TODAY PINHEIROS,TODAY PINHEIROS - NAO RESIDENCIAL,ATIVA,,,01/09/2023,FILIAL,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,RUA CARDEAL ARCOVERDE,2004,SETOR NAO RESIDENCIAL,PINHEIROS,05408002,SAO PAULO,SP,(11) 31452711,,,,
52.474.765/0001-67,TODAY PINHEIROS,-,ATIVA,,,01/09/2023,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,RUA CARDEAL ARCOVERDE,2004,,PINHEIROS,05408002,SAO PAULO,SP,(11) 31452711,,,,
52.471.371/0001-55,CONDOMINIO RESIDENCIAL IOLANDA,CONDOMINIO RESIDENCIAL IOLANDA,ATIVA,,,29/11/2022,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,RUA DO TRABALHO,17,,VILA NOVA SAVOIA,03531010,SAO PAULO,SP,(11) 54611056,,,,
52.470.645/0001-91,CONDOMINIO BOULEVARD IBIRAPUERA IRAE,BOULEVARD IBIRAPUERA IRAE,ATIVA,,,11/09/2023,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,ALAMEDA IRAE,144,,INDIANOPOLIS,04075000,SAO PAULO,SP,(11) 38892400,,,,
52.458.661/0003-20,CONDOMINIO  ALLERIA VILA MASCOTE,SUBCONDOMINIO BOLSOES DE ESTACIONAMENTO,ATIVA,,,08/09/2023,FILIAL,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,RUA ARAQUEM,187,CONJ  BOLSAO,VILA MASCOTE,04363050,SAO PAULO,SP,(11) 31915000,,,,
